scientificName,x_coord,y_coord,presence,elevation,slope,aspect,hcas
Amytornis purnelli,95908.30856272577,-2561049.2208878384,1,1052.7823,88.277534,197.70972,0.43022916
Amytornis purnelli,97713.03556795824,-2550476.545748331,1,1233.4088,87.69641,149.08313,0.683829
Amytornis purnelli,74595.95793410318,-2548379.3912439104,1,871.50006,88.79296,186.26572,0.3533815
Amytornis purnelli,80578.65481968914,-2553384.878961786,1,968.0051,83.55984,91.00032,0.5405097
Amytornis purnelli,82057.97321822979,-2554316.2976473253,1,1008.32947,86.886055,224.72678,0.72757834
Amytornis purnelli,94630.97270495542,-2560336.966004589,1,1053.4514,88.58563,202.53528,0.39708942
Amytornis purnelli,-43043.98320650513,-2619304.503780143,1,629.3487,74.346,10.430656,0.47156635
Amytornis purnelli,-42155.83232022576,-2618808.1899297647,1,741.8385,88.56611,357.79333,0.43353486
Amytornis purnelli,242196.3066284964,-2538927.444312763,1,590.3038,87.2708,85.03662,0.63439465
Amytornis purnelli,182858.0770150425,-2558472.8668302367,1,637.92584,83.12388,23.286634,0.86110365
Amytornis purnelli,242255.29198691368,-2539130.308905023,1,578.29584,86.95418,124.68267,0.7523441
Amytornis purnelli,239748.79845605514,-2540472.5678615323,1,555.8403,86.85117,24.604279,0.7409392
Amytornis purnelli,75662.66984617288,-2548503.765828622,1,726.2755,87.64855,158.75005,0.6746085
Amytornis purnelli,139249.8326652947,-2560593.976056325,1,939.9102,84.76813,96.91279,0.4649008
Amytornis purnelli,122913.3366117839,-2583599.238009549,1,631.31396,26.412859,97.74824,0.8986551
Amytornis purnelli,56494.11578673774,-2543331.6710119033,1,1037.3762,87.78373,201.4238,0.19195002
Amytornis purnelli,140468.16624320357,-2558951.631084488,1,1182.1926,87.06338,314.15997,0.6187064
Amytornis purnelli,148278.87216550537,-2560524.664846759,1,755.15765,82.104416,145.51071,0.34466124
Amytornis purnelli,-42629.225321613536,-2619365.601987873,1,648.6153,86.23973,201.99007,0.7262973
Amytornis purnelli,-42595.912440154665,-2618719.166835786,1,642.8236,49.546505,206.53972,0.7193146
Amytornis purnelli,-42894.00159650009,-2619097.2938749776,1,637.46045,86.2701,291.43002,0.35976416
Amytornis purnelli,56560.41035077559,-2543352.6610914906,1,1051.8483,86.84885,227.53029,0.6945824
Amytornis purnelli,73527.47213945661,-2548881.945843417,1,701.8196,88.24431,126.5007,0.26718462
Amytornis purnelli,77768.7502188447,-2549475.3681470216,1,721.7536,78.25156,356.09836,0.87723327
Amytornis purnelli,75661.69033751189,-2550169.2604506686,1,779.15674,87.06927,359.33994,0.4972888
Amytornis purnelli,209295.7633004127,-2593939.3795721238,1,542.25946,77.111984,132.24348,0.65417176
Amytornis purnelli,173543.52973058767,-2555386.784141123,1,624.3231,88.34839,173.38692,0.54638916
Amytornis purnelli,203295.0639334811,-2563840.190303288,1,547.6038,84.339294,189.4995,0.097613215
Amytornis purnelli,182335.75201282455,-2559474.748432672,1,859.8106,88.753334,319.2337,0.54723144
Amytornis purnelli,182996.2073635067,-2559373.4181504063,1,914.7283,85.76895,147.09882,0.6494197
Amytornis purnelli,-80197.99713748935,-2446331.812524797,1,626.9205,87.55198,115.30109,0.8399133
Amytornis purnelli,-84674.1757008532,-2448277.25997629,1,557.5775,24.939617,213.84389,0.91357195
Amytornis purnelli,75660.96444514931,-2550155.268730695,1,779.15674,87.06927,359.33994,0.4972888
Amytornis purnelli,181855.28339760972,-2558681.0647117454,1,641.84607,68.756905,337.51746,0.8239462
Amytornis purnelli,54217.413452371016,-2542744.5543981185,1,939.10236,88.11649,231.58719,0.63335425
Amytornis purnelli,148302.2975037814,-2559970.947734441,1,796.38617,87.9222,104.24486,0.7800669
Amytornis purnelli,73457.53825815859,-2549172.818641014,1,686.9756,87.39989,109.35689,0.6069793
Amytornis purnelli,53980.41662131709,-2542584.0063985335,1,925.4479,87.83872,240.63905,0.66436607
Amytornis purnelli,58413.38433387534,-2543639.968982468,1,1341.5643,63.77133,16.30004,0.48649922
Amytornis purnelli,-79873.23641562735,-2446348.254674744,1,588.10516,85.98928,201.55482,0.8507172
Amytornis purnelli,-42770.12860877327,-2619343.451642199,1,647.5475,87.35264,225.14995,0.6981031
Amytornis purnelli,182481.1396279653,-2559300.8691386087,1,840.04083,88.869415,318.99774,0.594853
Amytornis purnelli,149554.55177099898,-2557842.353147326,1,883.59796,86.54268,98.55227,0.7866373
Amytornis purnelli,118428.44878610295,-2569253.7200761237,1,757.67834,69.94677,254.74586,0.82530206
Amytornis purnelli,73457.53825815859,-2549172.818641014,1,686.9756,87.39989,109.35689,0.6069793
Amytornis purnelli,73443.85281713861,-2549004.2218774315,1,693.2248,88.085434,109.93939,0.7089161
Amytornis purnelli,-49304.10174814901,-2607503.206498422,1,734.2122,83.24881,255.87613,0.8999207
Amytornis purnelli,210008.41934520353,-2595641.1848912705,1,509.5861,59.90856,296.84158,0.7871333
Amytornis purnelli,19126.29724068245,-2815734.1515930383,1,681.55566,85.664665,53.150124,0.6551774
Amytornis purnelli,-105446.78692988277,-2445286.6521070614,1,564.1611,28.778616,135.64943,0.7934217
